iAngels Israeli Deal Digest – December 2019,https://www.iangels.com/2020/01/iangels-israeli-deal-digest-december-2019-2-2-2-2/,"Thu, 02 Jan 2020 16:56:03 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of corporate developments in the Israeli startup market. This December we tracked 34 announced deals totaling approximately $974m, and 5 exits totaling $2.48bn.  E-commerce and semiconductors were the leading sectors this month. Vroom, an online dealer of used cars, raised $254 Million led by Durable Capital […]"
iAngels Israeli Deal Digest – November 2019,https://www.iangels.com/2019/12/iangels-israeli-deal-digest-november-2019-2-2-2/,"Wed, 04 Dec 2019 17:41:51 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of corporate developments in the Israeli startup market. This November we tracked 25 announced deals totaling approximately $832m, and 7 exits totaling $2.48bn.  Semiconductors and Enterprise Software were the leading sectors this month. Riskified, an eCommerce fraud management company trusted by hundreds of global brands, raised […]"
iAngels Israeli Deal Digest – October 2019,https://www.iangels.com/2019/11/iangels-israeli-deal-digest-october-2019-2-2/,"Wed, 06 Nov 2019 08:17:00 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of corporate developments in the Israeli startup market. This October we tracked 36 announced deals totaling approximately $480 Million, and 6 exits totaling $402 Million.  FinTech and MedTech were the leading sectors this month. Next Insurance, a company that provides coverage for entrepreneurs and small businesses, […]"
iAngels Israeli Deal Digest – September 2019,https://www.iangels.com/2019/11/iangels-israeli-deal-digest-september-2019-2/,"Sun, 03 Nov 2019 19:05:07 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of corporate developments in the Israeli startup market. This September we tracked 46 announced deals totaling to $890 Million, and 3 exits totaling to $270 Million.  IT & Enterprise Software was the leading sector this month. Fundbox, a company that leverages machine learning to assess the […]"
iAngels Israeli Deal Digest – August 2019,https://www.iangels.com/2019/09/iangels-israeli-deal-digest-august-2019/,"Wed, 04 Sep 2019 09:06:31 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of corporate developments in the Israeli startup market. This August we tracked 27 announced deals totaling to $464 Million, and 7 exits totaling to $2.6 Billion.  IT & Enterprise Software was the leading sector this month. Cybereason, a provider of endpoint protection, offering endpoint detection and […]"
iAngels Israeli Deal Digest – July 2019,https://www.iangels.com/2019/08/iangels-israeli-deal-digest-july-2019-2-2-2-2-2-2/,"Mon, 05 Aug 2019 14:33:55 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This July we tracked 37 announced deals totaling $1.4B, and 5 exits totaling $259M. IT & Enterprise Software was the leading sector this month. Compass, a tech-driven real estate platform that uses technology to aid agents and clients in […]"
iAngels Israeli Deal Digest – June 2019,https://www.iangels.com/2019/07/iangels-israeli-deal-digest-june-2019-2-2-2-2-2/,"Tue, 02 Jul 2019 12:20:38 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This June we tracked 31 announced deals totaling $981M, and 5 exits totaling $207M. IT & Enterprise Software was the leading sector this month. TripActions, a technology-enabled corporate travel management platform, raised $250 million in a Series D financing […]"
iAngels Israeli Deal Digest – May 2019,https://www.iangels.com/2019/06/iangels-israeli-deal-digest-may-2019-2-2-2-2/,"Tue, 11 Jun 2019 12:07:19 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This May we tracked 23 announced deals totaling $485M, and 13 exits totaling $2B. IT & Enterprise Software was the leading sector this month. Exabeam, a company that empowers enterprises to detect, investigate, and respond to cyber attacks, raised […]"
iAngels Israeli Deal Digest – April 2019,https://www.iangels.com/2019/05/iangels-israeli-deal-digest-april-2019-2-2-2/,"Mon, 06 May 2019 12:13:31 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This April we tracked 29 announced deals totaling $788M, and 6 exits totaling $2.4B. FinTech and cybersecurity were the leading sectors this month. Lemonade, an InsurTech company, designed to offer homeowners and tenants insurance powered by AI and behavioural […]"
iAngels Israeli Deal Digest – March 2019,https://www.iangels.com/2019/04/iangels-israeli-deal-digest-march-2019-2-2/,"Sun, 14 Apr 2019 09:11:08 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This March we tracked 28 announced deals totaling $483M, and 7 exits totaling $7.8B. Semiconductors and Enterprise Software were the leading sectors this month. Innoviz, a leading manufacturer of high-performance, solid-state LiDAR sensors and perception software that enable the […]"
iAngels Israeli Deal Digest – February 2019,https://www.iangels.com/2019/03/iangels-israeli-deal-digest-february-2019-2/,"Tue, 05 Mar 2019 11:00:22 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This February we tracked 27 announced deals totaling $600M, and 7 exits totaling in $2.6B. IT & Enterprise Software was the leading sector in funds raised this month with DriveNets, a company that creates routing infrastructures that help customers […]"
iAngels Israeli Deal Digest – January 2019,https://www.iangels.com/2019/02/iangels-israeli-deal-digest-january-2019/,"Mon, 04 Feb 2019 19:34:20 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This January we tracked 34 announced deals totaling $455.6M, and 6 exits totaling $401.1M. IT & Enterprise Software was the leading sector this month. Globality, a company leveraging AI to revolutionize the way businesses buy and sell services, raised […]"
iAngels Israeli Deal Digest – December 2018,https://www.iangels.com/2019/01/iangels-israeli-deal-digest-december-2018/,"Wed, 02 Jan 2019 09:58:25 +0000","Welcome to the iAngels monthly Deal Digest, a summary of movements in the Israeli startup market. This December we tracked 25 announced deals totaling $481.75M, and 5 exits totaling in $127.8M. IT & Enterprise was the leading sector this month with Optibus, a fleet management software for public transit operators, raising $40M in a Series […]"
iAngels Israeli Deal Digest – November 2018,https://www.iangels.com/2018/12/iangels-israeli-deal-digest-november-2018-2/,"Wed, 05 Dec 2018 15:57:44 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This November we tracked 36 announced deals totaling $875 million, and 4 acquisitions totaling $200 million. IT & Enterprise Software was the leading sector for this month with TripActions raising $154m in a third round,  Habana Labs a company that is developing processors optimized […]"
iAngels Israeli Deal Digest – October 2018,https://www.iangels.com/2018/11/iangels-israeli-deal-digest-october-2018-2-2/,"Sun, 11 Nov 2018 08:26:17 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This October we tracked 41 announced deals totaling $611M, and ten exits totaling in $3.2B IT & Enterprise software was the leading sector this month with Cognata raising $18.5M in a second funding round, JFrog, a company that integrates […]"
